,,H. Florence Peaks,,,,Historical Record,,
Gage Name,Gage Number,Stage (ft),Flow (cfs),Day (Sept),Rank / POR*,Stage (ft),Flow (cfs),Year
Black Creek below Chesterfield,02130840,11.99,3690,17,1/13,10.07,1480,2006
Black Creek near Quinby,02130980,17.37,6880,17,1/17,16.81,6530,2015
Little Pee Dee River at Galivants Ferry,02135000,17.21,66900,21,1/77,17.1,59300,2016
Lynches Near Bishopville,02131500,18.22,18000,18,2/76,22.35,29400,1945
Pee Dee Near Bennettsville,02130561,93.06,192000,18,1/27,89.94,124000,2003
Pee Dee River at Pee Dee,02131000,31.83,132000,21,2/80,33.3,220000,1945
"Pee Dee River below Pee Dee, SC",02131010,36.96,139000,21,1/22,33.96,99000,2003
Pee Dee at HWY 701 Near Bucksport,02135200,25,136000,26,1/15,22.6,124000,2016
Waccamaw River near Longs,02110500,20.22,57500,20,1/68,17.94,28200,1999
Waccamaw River at Conway Marina,02110704,21.16,49000,26,1/24,17.64,24100,1999
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
